---- EP [1/5] | BTCH [1/1615] ||| train_loss = 0.01647 ----
---- EP [1/5] | BTCH [47/1615] ||| train_loss = 0.01631 ----
---- EP [1/5] | BTCH [48/1615] ||| train_loss = 0.01205 ----
---- EP [1/5] | BTCH [49/1615] ||| train_loss = 0.01167 ----
---- EP [1/5] | BTCH [50/1615] ||| train_loss = 0.01327 ----
---- EP [1/5] | BTCH [51/1615] ||| train_loss = 0.01173 ----
---- EP [1/5] | BTCH [52/1615] ||| train_loss = 0.00923 ----
---- EP [1/5] | BTCH [53/1615] ||| train_loss = 0.01520 ----
---- EP [1/5] | BTCH [54/1615] ||| train_loss = 0.01459 ----
---- EP [1/5] | BTCH [55/1615] ||| train_loss = 0.00991 ----
---- EP [1/5] | BTCH [56/1615] ||| train_loss = 0.01340 ----
---- EP [1/5] | BTCH [57/1615] ||| train_loss = 0.01618 ----
---- EP [1/5] | BTCH [58/1615] ||| train_loss = 0.01221 ----
---- EP [1/5] | BTCH [59/1615] ||| train_loss = 0.01708 ----
---- EP [1/5] | BTCH [60/1615] ||| train_loss = 0.01321 ----
---- EP [1/5] | BTCH [61/1615] ||| train_loss = 0.01234 ----
---- EP [1/5] | BTCH [62/1615] ||| train_loss = 0.01356 ----
---- EP [1/5] | BTCH [63/1615] ||| train_loss = 0.01012 ----
---- EP [1/5] | BTCH [64/1615] ||| train_loss = 0.00871 ----
---- EP [1/5] | BTCH [65/1615] ||| train_loss = 0.01036 ----
---- EP [1/5] | BTCH [66/1615] ||| train_loss = 0.00799 ----
---- EP [1/5] | BTCH [67/1615] ||| train_loss = 0.01569 ----
---- EP [1/5] | BTCH [68/1615] ||| train_loss = 0.01037 ----
---- EP [1/5] | BTCH [69/1615] ||| train_loss = 0.01558 ----
---- EP [1/5] | BTCH [70/1615] ||| train_loss = 0.01484 ----
---- EP [1/5] | BTCH [71/1615] ||| train_loss = 0.01579 ----
---- EP [1/5] | BTCH [72/1615] ||| train_loss = 0.01338 ----
---- EP [1/5] | BTCH [73/1615] ||| train_loss = 0.01062 ----
---- EP [1/5] | BTCH [74/1615] ||| train_loss = 0.00730 ----
---- EP [1/5] | BTCH [75/1615] ||| train_loss = 0.01228 ----
---- EP [1/5] | BTCH [76/1615] ||| train_loss = 0.01027 ----
---- EP [1/5] | BTCH [77/1615] ||| train_loss = 0.01033 ----
---- EP [1/5] | BTCH [78/1615] ||| train_loss = 0.01362 ----
---- EP [1/5] | BTCH [79/1615] ||| train_loss = 0.00936 ----
---- EP [1/5] | BTCH [80/1615] ||| train_loss = 0.01024 ----
---- EP [1/5] | BTCH [81/1615] ||| train_loss = 0.00875 ----
---- EP [1/5] | BTCH [82/1615] ||| train_loss = 0.01106 ----
---- EP [1/5] | BTCH [83/1615] ||| train_loss = 0.01198 ----
---- EP [1/5] | BTCH [84/1615] ||| train_loss = 0.01400 ----
---- EP [1/5] | BTCH [85/1615] ||| train_loss = 0.01594 ----
---- EP [1/5] | BTCH [86/1615] ||| train_loss = 0.01314 ----
---- EP [1/5] | BTCH [87/1615] ||| train_loss = 0.01465 ----
---- EP [1/5] | BTCH [88/1615] ||| train_loss = 0.01391 ----
---- EP [1/5] | BTCH [89/1615] ||| train_loss = 0.01367 ----
---- EP [1/5] | BTCH [90/1615] ||| train_loss = 0.01158 ----
---- EP [1/5] | BTCH [91/1615] ||| train_loss = 0.01043 ----
---- EP [1/5] | BTCH [92/1615] ||| train_loss = 0.01682 ----
---- EP [1/5] | BTCH [93/1615] ||| train_loss = 0.01321 ----
---- EP [1/5] | BTCH [94/1615] ||| train_loss = 0.00941 ----
---- EP [1/5] | BTCH [95/1615] ||| train_loss = 0.01645 ----
---- EP [1/5] | BTCH [96/1615] ||| train_loss = 0.01513 ----
---- EP [1/5] | BTCH [97/1615] ||| train_loss = 0.00944 ----
---- EP [1/5] | BTCH [98/1615] ||| train_loss = 0.01494 ----
---- EP [1/5] | BTCH [99/1615] ||| train_loss = 0.01538 ----
---- EP [1/5] | BTCH [100/1615] ||| train_loss = 0.01429 ----
---- EP [1/5] | BTCH [101/1615] ||| train_loss = 0.01592 ----
---- EP [1/5] | BTCH [102/1615] ||| train_loss = 0.00805 ----
---- EP [1/5] | BTCH [103/1615] ||| train_loss = 0.01176 ----
---- EP [1/5] | BTCH [104/1615] ||| train_loss = 0.00870 ----
---- EP [1/5] | BTCH [105/1615] ||| train_loss = 0.01192 ----
---- EP [1/5] | BTCH [106/1615] ||| train_loss = 0.00973 ----
---- EP [1/5] | BTCH [107/1615] ||| train_loss = 0.01725 ----
---- EP [1/5] | BTCH [108/1615] ||| train_loss = 0.01149 ----
---- EP [1/5] | BTCH [109/1615] ||| train_loss = 0.01298 ----
---- EP [1/5] | BTCH [110/1615] ||| train_loss = 0.01360 ----
---- EP [1/5] | BTCH [111/1615] ||| train_loss = 0.00927 ----
---- EP [1/5] | BTCH [112/1615] ||| train_loss = 0.01297 ----
---- EP [1/5] | BTCH [113/1615] ||| train_loss = 0.01260 ----
---- EP [1/5] | BTCH [114/1615] ||| train_loss = 0.01583 ----
---- EP [1/5] | BTCH [115/1615] ||| train_loss = 0.01238 ----
---- EP [1/5] | BTCH [116/1615] ||| train_loss = 0.01440 ----
---- EP [1/5] | BTCH [117/1615] ||| train_loss = 0.01453 ----
---- EP [1/5] | BTCH [118/1615] ||| train_loss = 0.01351 ----
---- EP [1/5] | BTCH [119/1615] ||| train_loss = 0.00962 ----
---- EP [1/5] | BTCH [120/1615] ||| train_loss = 0.01563 ----
---- EP [1/5] | BTCH [121/1615] ||| train_loss = 0.01435 ----
---- EP [1/5] | BTCH [122/1615] ||| train_loss = 0.01621 ----
---- EP [1/5] | BTCH [123/1615] ||| train_loss = 0.01595 ----
---- EP [1/5] | BTCH [124/1615] ||| train_loss = 0.01817 ----
---- EP [1/5] | BTCH [125/1615] ||| train_loss = 0.00915 ----
---- EP [1/5] | BTCH [126/1615] ||| train_loss = 0.01486 ----
---- EP [1/5] | BTCH [127/1615] ||| train_loss = 0.01271 ----
---- EP [1/5] | BTCH [128/1615] ||| train_loss = 0.00863 ----
---- EP [1/5] | BTCH [129/1615] ||| train_loss = 0.01105 ----
---- EP [1/5] | BTCH [130/1615] ||| train_loss = 0.01112 ----
---- EP [1/5] | BTCH [131/1615] ||| train_loss = 0.00930 ----
---- EP [1/5] | BTCH [132/1615] ||| train_loss = 0.01503 ----
---- EP [1/5] | BTCH [133/1615] ||| train_loss = 0.00944 ----
---- EP [1/5] | BTCH [134/1615] ||| train_loss = 0.01188 ----
---- EP [1/5] | BTCH [135/1615] ||| train_loss = 0.01568 ----
---- EP [1/5] | BTCH [136/1615] ||| train_loss = 0.01273 ----
---- EP [1/5] | BTCH [137/1615] ||| train_loss = 0.01213 ----
---- EP [1/5] | BTCH [138/1615] ||| train_loss = 0.01177 ----
---- EP [1/5] | BTCH [139/1615] ||| train_loss = 0.01374 ----
---- EP [1/5] | BTCH [140/1615] ||| train_loss = 0.01437 ----
---- EP [1/5] | BTCH [141/1615] ||| train_loss = 0.00718 ----
---- EP [1/5] | BTCH [142/1615] ||| train_loss = 0.00859 ----
---- EP [1/5] | BTCH [143/1615] ||| train_loss = 0.01169 ----
---- EP [1/5] | BTCH [144/1615] ||| train_loss = 0.01573 ----
---- EP [1/5] | BTCH [145/1615] ||| train_loss = 0.01221 ----
---- EP [1/5] | BTCH [146/1615] ||| train_loss = 0.01339 ----
---- EP [1/5] | BTCH [147/1615] ||| train_loss = 0.01740 ----
---- EP [1/5] | BTCH [148/1615] ||| train_loss = 0.01357 ----
---- EP [1/5] | BTCH [149/1615] ||| train_loss = 0.00921 ----
---- EP [1/5] | BTCH [150/1615] ||| train_loss = 0.01770 ----
---- EP [1/5] | BTCH [151/1615] ||| train_loss = 0.01601 ----
---- EP [1/5] | BTCH [152/1615] ||| train_loss = 0.01744 ----
---- EP [1/5] | BTCH [153/1615] ||| train_loss = 0.01620 ----
---- EP [1/5] | BTCH [154/1615] ||| train_loss = 0.00929 ----
---- EP [1/5] | BTCH [155/1615] ||| train_loss = 0.02040 ----
---- EP [1/5] | BTCH [156/1615] ||| train_loss = 0.01511 ----
---- EP [1/5] | BTCH [157/1615] ||| train_loss = 0.01810 ----
---- EP [1/5] | BTCH [158/1615] ||| train_loss = 0.01259 ----
---- EP [1/5] | BTCH [159/1615] ||| train_loss = 0.01234 ----
---- EP [1/5] | BTCH [160/1615] ||| train_loss = 0.01214 ----
---- EP [1/5] | BTCH [161/1615] ||| train_loss = 0.01343 ----
/opt/conda/lib/python3.10/site-packages/torch/utils/checkpoint.py:31: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn("None of the inputs have requires_grad=True. Gradients will be None")
VAL ||| loss = 0.013042149745232932, psnr = 31.044658660888672, ssim = 0.9093311429023743
---- EP [1/5] | BTCH [162/1615] ||| train_loss = 0.01432 ----
---- EP [1/5] | BTCH [163/1615] ||| train_loss = 0.01820 ----
---- EP [1/5] | BTCH [164/1615] ||| train_loss = 0.01116 ----
---- EP [1/5] | BTCH [165/1615] ||| train_loss = 0.01002 ----
---- EP [1/5] | BTCH [166/1615] ||| train_loss = 0.00877 ----
---- EP [1/5] | BTCH [167/1615] ||| train_loss = 0.01533 ----
---- EP [1/5] | BTCH [168/1615] ||| train_loss = 0.01565 ----
---- EP [1/5] | BTCH [169/1615] ||| train_loss = 0.00761 ----
---- EP [1/5] | BTCH [170/1615] ||| train_loss = 0.00924 ----
---- EP [1/5] | BTCH [171/1615] ||| train_loss = 0.01281 ----
---- EP [1/5] | BTCH [172/1615] ||| train_loss = 0.01359 ----
---- EP [1/5] | BTCH [173/1615] ||| train_loss = 0.01302 ----
---- EP [1/5] | BTCH [174/1615] ||| train_loss = 0.00907 ----
---- EP [1/5] | BTCH [175/1615] ||| train_loss = 0.01425 ----
---- EP [1/5] | BTCH [176/1615] ||| train_loss = 0.00875 ----
---- EP [1/5] | BTCH [177/1615] ||| train_loss = 0.01218 ----
---- EP [1/5] | BTCH [178/1615] ||| train_loss = 0.02008 ----
---- EP [1/5] | BTCH [179/1615] ||| train_loss = 0.01117 ----
---- EP [1/5] | BTCH [180/1615] ||| train_loss = 0.00940 ----
---- EP [1/5] | BTCH [181/1615] ||| train_loss = 0.01649 ----
---- EP [1/5] | BTCH [182/1615] ||| train_loss = 0.01267 ----
---- EP [1/5] | BTCH [183/1615] ||| train_loss = 0.01365 ----
---- EP [1/5] | BTCH [184/1615] ||| train_loss = 0.01024 ----
---- EP [1/5] | BTCH [185/1615] ||| train_loss = 0.01637 ----
---- EP [1/5] | BTCH [186/1615] ||| train_loss = 0.01740 ----
---- EP [1/5] | BTCH [187/1615] ||| train_loss = 0.01327 ----
---- EP [1/5] | BTCH [188/1615] ||| train_loss = 0.01219 ----
---- EP [1/5] | BTCH [189/1615] ||| train_loss = 0.01198 ----
---- EP [1/5] | BTCH [190/1615] ||| train_loss = 0.01050 ----
---- EP [1/5] | BTCH [191/1615] ||| train_loss = 0.01154 ----
---- EP [1/5] | BTCH [192/1615] ||| train_loss = 0.01220 ----
---- EP [1/5] | BTCH [193/1615] ||| train_loss = 0.01360 ----
---- EP [1/5] | BTCH [194/1615] ||| train_loss = 0.00879 ----
---- EP [1/5] | BTCH [195/1615] ||| train_loss = 0.01050 ----
---- EP [1/5] | BTCH [196/1615] ||| train_loss = 0.01121 ----
---- EP [1/5] | BTCH [197/1615] ||| train_loss = 0.01291 ----
---- EP [1/5] | BTCH [198/1615] ||| train_loss = 0.01442 ----
---- EP [1/5] | BTCH [199/1615] ||| train_loss = 0.01361 ----
---- EP [1/5] | BTCH [200/1615] ||| train_loss = 0.01264 ----
---- EP [1/5] | BTCH [201/1615] ||| train_loss = 0.01165 ----
---- EP [1/5] | BTCH [202/1615] ||| train_loss = 0.01020 ----
---- EP [1/5] | BTCH [203/1615] ||| train_loss = 0.01452 ----
---- EP [1/5] | BTCH [204/1615] ||| train_loss = 0.01107 ----
---- EP [1/5] | BTCH [205/1615] ||| train_loss = 0.01214 ----
---- EP [1/5] | BTCH [206/1615] ||| train_loss = 0.01322 ----
---- EP [1/5] | BTCH [207/1615] ||| train_loss = 0.01212 ----
---- EP [1/5] | BTCH [208/1615] ||| train_loss = 0.01078 ----
---- EP [1/5] | BTCH [209/1615] ||| train_loss = 0.01247 ----
---- EP [1/5] | BTCH [210/1615] ||| train_loss = 0.01187 ----
---- EP [1/5] | BTCH [211/1615] ||| train_loss = 0.01258 ----
---- EP [1/5] | BTCH [212/1615] ||| train_loss = 0.01376 ----
---- EP [1/5] | BTCH [213/1615] ||| train_loss = 0.01671 ----
---- EP [1/5] | BTCH [214/1615] ||| train_loss = 0.01279 ----
---- EP [1/5] | BTCH [215/1615] ||| train_loss = 0.00867 ----
---- EP [1/5] | BTCH [216/1615] ||| train_loss = 0.01554 ----
---- EP [1/5] | BTCH [217/1615] ||| train_loss = 0.01192 ----
---- EP [1/5] | BTCH [218/1615] ||| train_loss = 0.01528 ----
---- EP [1/5] | BTCH [219/1615] ||| train_loss = 0.01267 ----
---- EP [1/5] | BTCH [220/1615] ||| train_loss = 0.01131 ----
---- EP [1/5] | BTCH [221/1615] ||| train_loss = 0.01717 ----
---- EP [1/5] | BTCH [222/1615] ||| train_loss = 0.01497 ----
---- EP [1/5] | BTCH [223/1615] ||| train_loss = 0.01382 ----
---- EP [1/5] | BTCH [224/1615] ||| train_loss = 0.00917 ----
---- EP [1/5] | BTCH [225/1615] ||| train_loss = 0.01327 ----
---- EP [1/5] | BTCH [226/1615] ||| train_loss = 0.01093 ----
---- EP [1/5] | BTCH [227/1615] ||| train_loss = 0.01233 ----
---- EP [1/5] | BTCH [228/1615] ||| train_loss = 0.01085 ----
---- EP [1/5] | BTCH [229/1615] ||| train_loss = 0.01044 ----
---- EP [1/5] | BTCH [230/1615] ||| train_loss = 0.01263 ----
---- EP [1/5] | BTCH [231/1615] ||| train_loss = 0.01151 ----
---- EP [1/5] | BTCH [232/1615] ||| train_loss = 0.01889 ----
---- EP [1/5] | BTCH [233/1615] ||| train_loss = 0.01196 ----
---- EP [1/5] | BTCH [234/1615] ||| train_loss = 0.00858 ----
---- EP [1/5] | BTCH [235/1615] ||| train_loss = 0.01157 ----
---- EP [1/5] | BTCH [236/1615] ||| train_loss = 0.00732 ----
---- EP [1/5] | BTCH [237/1615] ||| train_loss = 0.01093 ----
---- EP [1/5] | BTCH [238/1615] ||| train_loss = 0.01215 ----
---- EP [1/5] | BTCH [239/1615] ||| train_loss = 0.01274 ----
---- EP [1/5] | BTCH [240/1615] ||| train_loss = 0.01003 ----
---- EP [1/5] | BTCH [241/1615] ||| train_loss = 0.01115 ----
---- EP [1/5] | BTCH [242/1615] ||| train_loss = 0.00977 ----
---- EP [1/5] | BTCH [243/1615] ||| train_loss = 0.01614 ----
---- EP [1/5] | BTCH [244/1615] ||| train_loss = 0.01245 ----
---- EP [1/5] | BTCH [245/1615] ||| train_loss = 0.01463 ----
---- EP [1/5] | BTCH [246/1615] ||| train_loss = 0.01245 ----
---- EP [1/5] | BTCH [247/1615] ||| train_loss = 0.01152 ----
---- EP [1/5] | BTCH [248/1615] ||| train_loss = 0.01102 ----
---- EP [1/5] | BTCH [249/1615] ||| train_loss = 0.00907 ----
---- EP [1/5] | BTCH [250/1615] ||| train_loss = 0.01393 ----
---- EP [1/5] | BTCH [251/1615] ||| train_loss = 0.01325 ----
---- EP [1/5] | BTCH [252/1615] ||| train_loss = 0.00927 ----
---- EP [1/5] | BTCH [253/1615] ||| train_loss = 0.01681 ----
---- EP [1/5] | BTCH [254/1615] ||| train_loss = 0.01414 ----
---- EP [1/5] | BTCH [255/1615] ||| train_loss = 0.01116 ----
---- EP [1/5] | BTCH [256/1615] ||| train_loss = 0.01253 ----
---- EP [1/5] | BTCH [257/1615] ||| train_loss = 0.01454 ----
---- EP [1/5] | BTCH [258/1615] ||| train_loss = 0.01071 ----
---- EP [1/5] | BTCH [259/1615] ||| train_loss = 0.01289 ----
---- EP [1/5] | BTCH [260/1615] ||| train_loss = 0.01062 ----
---- EP [1/5] | BTCH [261/1615] ||| train_loss = 0.01497 ----
---- EP [1/5] | BTCH [262/1615] ||| train_loss = 0.01181 ----
---- EP [1/5] | BTCH [263/1615] ||| train_loss = 0.02278 ----
---- EP [1/5] | BTCH [264/1615] ||| train_loss = 0.01299 ----
---- EP [1/5] | BTCH [265/1615] ||| train_loss = 0.01113 ----
---- EP [1/5] | BTCH [266/1615] ||| train_loss = 0.01377 ----
---- EP [1/5] | BTCH [267/1615] ||| train_loss = 0.01330 ----
---- EP [1/5] | BTCH [268/1615] ||| train_loss = 0.00993 ----
---- EP [1/5] | BTCH [269/1615] ||| train_loss = 0.01081 ----
---- EP [1/5] | BTCH [270/1615] ||| train_loss = 0.00923 ----
---- EP [1/5] | BTCH [271/1615] ||| train_loss = 0.01204 ----
---- EP [1/5] | BTCH [272/1615] ||| train_loss = 0.00895 ----
---- EP [1/5] | BTCH [273/1615] ||| train_loss = 0.02112 ----
---- EP [1/5] | BTCH [274/1615] ||| train_loss = 0.01287 ----
---- EP [1/5] | BTCH [275/1615] ||| train_loss = 0.01301 ----
---- EP [1/5] | BTCH [276/1615] ||| train_loss = 0.00953 ----
---- EP [1/5] | BTCH [277/1615] ||| train_loss = 0.01527 ----
---- EP [1/5] | BTCH [278/1615] ||| train_loss = 0.00907 ----
---- EP [1/5] | BTCH [279/1615] ||| train_loss = 0.01105 ----
---- EP [1/5] | BTCH [280/1615] ||| train_loss = 0.01335 ----
---- EP [1/5] | BTCH [281/1615] ||| train_loss = 0.01746 ----
---- EP [1/5] | BTCH [282/1615] ||| train_loss = 0.01578 ----
---- EP [1/5] | BTCH [283/1615] ||| train_loss = 0.01244 ----
---- EP [1/5] | BTCH [284/1615] ||| train_loss = 0.01699 ----
---- EP [1/5] | BTCH [285/1615] ||| train_loss = 0.01226 ----
---- EP [1/5] | BTCH [286/1615] ||| train_loss = 0.01363 ----
---- EP [1/5] | BTCH [287/1615] ||| train_loss = 0.00978 ----
---- EP [1/5] | BTCH [288/1615] ||| train_loss = 0.01273 ----
---- EP [1/5] | BTCH [289/1615] ||| train_loss = 0.00888 ----
---- EP [1/5] | BTCH [290/1615] ||| train_loss = 0.01478 ----
---- EP [1/5] | BTCH [291/1615] ||| train_loss = 0.01267 ----
---- EP [1/5] | BTCH [292/1615] ||| train_loss = 0.01266 ----
---- EP [1/5] | BTCH [293/1615] ||| train_loss = 0.00818 ----
---- EP [1/5] | BTCH [294/1615] ||| train_loss = 0.01283 ----
---- EP [1/5] | BTCH [295/1615] ||| train_loss = 0.01571 ----
---- EP [1/5] | BTCH [296/1615] ||| train_loss = 0.01767 ----
---- EP [1/5] | BTCH [297/1615] ||| train_loss = 0.00987 ----
---- EP [1/5] | BTCH [298/1615] ||| train_loss = 0.01211 ----
---- EP [1/5] | BTCH [299/1615] ||| train_loss = 0.01114 ----
---- EP [1/5] | BTCH [300/1615] ||| train_loss = 0.01321 ----
---- EP [1/5] | BTCH [301/1615] ||| train_loss = 0.00863 ----
---- EP [1/5] | BTCH [302/1615] ||| train_loss = 0.00999 ----
---- EP [1/5] | BTCH [303/1615] ||| train_loss = 0.01413 ----
---- EP [1/5] | BTCH [304/1615] ||| train_loss = 0.01358 ----
---- EP [1/5] | BTCH [305/1615] ||| train_loss = 0.01301 ----
---- EP [1/5] | BTCH [306/1615] ||| train_loss = 0.01179 ----
---- EP [1/5] | BTCH [307/1615] ||| train_loss = 0.01113 ----
---- EP [1/5] | BTCH [308/1615] ||| train_loss = 0.01051 ----
---- EP [1/5] | BTCH [309/1615] ||| train_loss = 0.01670 ----
---- EP [1/5] | BTCH [310/1615] ||| train_loss = 0.00848 ----
---- EP [1/5] | BTCH [311/1615] ||| train_loss = 0.01208 ----
---- EP [1/5] | BTCH [312/1615] ||| train_loss = 0.01128 ----
---- EP [1/5] | BTCH [313/1615] ||| train_loss = 0.00734 ----
---- EP [1/5] | BTCH [314/1615] ||| train_loss = 0.01242 ----
---- EP [1/5] | BTCH [315/1615] ||| train_loss = 0.01116 ----
---- EP [1/5] | BTCH [316/1615] ||| train_loss = 0.01144 ----
---- EP [1/5] | BTCH [317/1615] ||| train_loss = 0.00988 ----
---- EP [1/5] | BTCH [318/1615] ||| train_loss = 0.00949 ----
---- EP [1/5] | BTCH [319/1615] ||| train_loss = 0.01186 ----
---- EP [1/5] | BTCH [320/1615] ||| train_loss = 0.01538 ----
---- EP [1/5] | BTCH [321/1615] ||| train_loss = 0.01199 ----
---- EP [1/5] | BTCH [322/1615] ||| train_loss = 0.01449 ----
VAL ||| loss = 0.012855590036873782, psnr = 31.1072998046875, ssim = 0.9103222489356995
---- EP [1/5] | BTCH [323/1615] ||| train_loss = 0.00989 ----
---- EP [1/5] | BTCH [324/1615] ||| train_loss = 0.01124 ----
---- EP [1/5] | BTCH [325/1615] ||| train_loss = 0.01478 ----
---- EP [1/5] | BTCH [326/1615] ||| train_loss = 0.00933 ----
---- EP [1/5] | BTCH [327/1615] ||| train_loss = 0.01490 ----
---- EP [1/5] | BTCH [328/1615] ||| train_loss = 0.01114 ----
---- EP [1/5] | BTCH [329/1615] ||| train_loss = 0.01360 ----
---- EP [1/5] | BTCH [330/1615] ||| train_loss = 0.01217 ----
---- EP [1/5] | BTCH [331/1615] ||| train_loss = 0.00989 ----
---- EP [1/5] | BTCH [332/1615] ||| train_loss = 0.01432 ----
---- EP [1/5] | BTCH [333/1615] ||| train_loss = 0.00902 ----
---- EP [1/5] | BTCH [334/1615] ||| train_loss = 0.01365 ----
---- EP [1/5] | BTCH [335/1615] ||| train_loss = 0.01435 ----
---- EP [1/5] | BTCH [336/1615] ||| train_loss = 0.01304 ----
---- EP [1/5] | BTCH [337/1615] ||| train_loss = 0.01005 ----
---- EP [1/5] | BTCH [338/1615] ||| train_loss = 0.01173 ----
---- EP [1/5] | BTCH [339/1615] ||| train_loss = 0.01043 ----
---- EP [1/5] | BTCH [340/1615] ||| train_loss = 0.00907 ----
---- EP [1/5] | BTCH [341/1615] ||| train_loss = 0.01444 ----
---- EP [1/5] | BTCH [342/1615] ||| train_loss = 0.01051 ----
---- EP [1/5] | BTCH [343/1615] ||| train_loss = 0.01052 ----
---- EP [1/5] | BTCH [344/1615] ||| train_loss = 0.00989 ----
---- EP [1/5] | BTCH [345/1615] ||| train_loss = 0.00862 ----
---- EP [1/5] | BTCH [346/1615] ||| train_loss = 0.00882 ----
---- EP [1/5] | BTCH [347/1615] ||| train_loss = 0.00841 ----
---- EP [1/5] | BTCH [348/1615] ||| train_loss = 0.01117 ----
---- EP [1/5] | BTCH [349/1615] ||| train_loss = 0.01641 ----
---- EP [1/5] | BTCH [350/1615] ||| train_loss = 0.01912 ----
---- EP [1/5] | BTCH [351/1615] ||| train_loss = 0.01191 ----
---- EP [1/5] | BTCH [352/1615] ||| train_loss = 0.01558 ----
---- EP [1/5] | BTCH [353/1615] ||| train_loss = 0.01369 ----
---- EP [1/5] | BTCH [354/1615] ||| train_loss = 0.01512 ----
---- EP [1/5] | BTCH [355/1615] ||| train_loss = 0.01324 ----
---- EP [1/5] | BTCH [356/1615] ||| train_loss = 0.00954 ----
---- EP [1/5] | BTCH [357/1615] ||| train_loss = 0.01095 ----
---- EP [1/5] | BTCH [358/1615] ||| train_loss = 0.01109 ----
---- EP [1/5] | BTCH [359/1615] ||| train_loss = 0.01194 ----
---- EP [1/5] | BTCH [360/1615] ||| train_loss = 0.01053 ----
---- EP [1/5] | BTCH [361/1615] ||| train_loss = 0.01042 ----
---- EP [1/5] | BTCH [362/1615] ||| train_loss = 0.01214 ----
---- EP [1/5] | BTCH [363/1615] ||| train_loss = 0.01601 ----
---- EP [1/5] | BTCH [364/1615] ||| train_loss = 0.01396 ----
---- EP [1/5] | BTCH [365/1615] ||| train_loss = 0.01532 ----
---- EP [1/5] | BTCH [366/1615] ||| train_loss = 0.01070 ----
---- EP [1/5] | BTCH [367/1615] ||| train_loss = 0.01036 ----
---- EP [1/5] | BTCH [368/1615] ||| train_loss = 0.01367 ----
---- EP [1/5] | BTCH [369/1615] ||| train_loss = 0.00941 ----
---- EP [1/5] | BTCH [370/1615] ||| train_loss = 0.01592 ----
---- EP [1/5] | BTCH [371/1615] ||| train_loss = 0.01285 ----
---- EP [1/5] | BTCH [372/1615] ||| train_loss = 0.01057 ----
